Path,File,Date Acquired,Sample,Misc
C:\Data\2020\20200807_2DGC_JLOpt\,22TS51.D, 9 Sep 2020  11:45    , , 
Signal: 22TS51.D\FID1A.ch,,,,
0,19944,,,
0,20022,,,
0,20011,,,
0,19999,,,
0,20052,,,
0,20149,,,
0.001,20123,,,
0.001,20093,,,
0.001,20089,,,
0.001,20062,,,
0.001,20065,,,
0.001,20061,,,
0.001,20064,,,
0.001,19962,,,
0.001,19934,,,
0.001,19963,,,
0.001,19918,,,
0.001,19996,,,
0.002,20042,,,
0.002,20042,,,
0.002,20046,,,
0.002,20076,,,
0.002,20113,,,
0.002,20045,,,
0.002,20067,,,
0.002,20084,,,
0.002,20026,,,
0.002,20028,,,
0.002,20042,,,
0.002,20053,,,
0.003,20008,,,
0.003,20059,,,
0.003,20042,,,
0.003,19997,,,
0.003,20012,,,
0.003,20058,,,
0.003,20022,,,
0.003,20032,,,
0.003,20062,,,
0.003,19999,,,
0.003,19943,,,
0.003,19927,,,
0.004,19935,,,
0.004,19931,,,
0.004,19983,,,
0.004,20038,,,
0.004,19968,,,
0.004,19968,,,
0.004,19994,,,
0.004,20023,,,
0.004,20028,,,
0.004,20064,,,
0.004,20029,,,
0.004,19951,,,
0.005,19981,,,
0.005,20056,,,
0.005,20053,,,
0.005,20020,,,
0.005,20001,,,
0.005,19976,,,
0.005,19968,,,
0.005,20031,,,
0.005,20028,,,
0.005,20053,,,
0.005,20068,,,
0.005,20088,,,
0.006,19989,,,
0.006,19890,,,
0.006,19874,,,
0.006,19862,,,
0.006,19938,,,
0.006,20018,,,
0.006,20002,,,
0.006,19946,,,
0.006,20001,,,
0.006,20060,,,
0.006,20003,,,
0.006,20023,,,
0.007,20052,,,
0.007,19987,,,
0.007,19906,,,
0.007,19915,,,
0.007,19987,,,
0.007,19938,,,
0.007,19934,,,
0.007,19950,,,
0.007,19889,,,
0.007,19940,,,
0.007,20038,,,
0.007,20105,,,
0.008,20154,,,
0.008,20171,,,
0.008,20146,,,
0.008,19994,,,
0.008,19956,,,
0.008,19954,,,
0.008,19926,,,
0.008,19980,,,
0.008,20022,,,
0.008,19995,,,
0.008,19946,,,
0.008,19977,,,
0.009,20056,,,
0.009,20064,,,
0.009,20122,,,
0.009,20123,,,
0.009,20053,,,
0.009,20044,,,
0.009,20105,,,
